Location,Legal Marijuana Sales(2017),Legal Marijuana Sales(2018),Legal Status,"Total Deaths Per 100,000 Total Population","Prescription Opioid Overdose Deaths Per 100,000 (Age Adjusted)",,2018 Population
United States,6978498258,8889827298,,63363,32279,,
Alabama,0,0,I,756,256,,4888949
Alaska,33970000,39520300,L,128,58,,738068
Arizona,345664969,406664670,L,1382,466,,7123898
Arkansas,73688414.26,88781222,L,401,152,,3020327
California,2142489949,2756790061,,4654,1435,,39776830
Colorado,908727015,1128727015,L,942,312,,5684203
Connecticut,39502000,50201003,L,971,666,,3588683
Delaware,6648033,7100000,L,282,112,,971180
Florida,12908397,17443781,L,4728,2423,,21312211
Georgia,0,0,I,1394,715,,10545138
Hawaii,15824000,17200000,L,191,61,,1426393
Idaho,0,0,I,243,91,,1753860
Illinois,70199088,91167647,L,2411,1267,,12768320
Indiana,0,0,I,1526,495,,6699629
Iowa,0,0,I,314,136,,3160553
Kansas,0,0,I,313,109,,2918515
Kentucky,0,0,I,1419,786,,4472265
Louisiana,76479962,89976426,L,996,195,,4682509
Maine,64252798,83445193,L,353,285,,1341582
Maryland,6079505,171935606,L,2044,1508,,6079602
Massachusetts,96218199,106218199,L,2227,1743,,6895917
Michigan,502058402,633058402,L,2347,1382,,9991177
Minnesota,524008228,9629013,L,672,275,,5628162
Mississippi,0,0,I,352,139,,2982785
Missouri,101335724,157148446,L,1371,664,,6135888
Montana,28103441,31793893,L,119,33,,1062330
Nebraska,0,0,I,120,37,,1932549
Nevada,91697177,102697177,L,665,305,,3056824
New Hampshire,1229023,7200000,L,481,423,,1350575
New Jersey,28938000,37100000,L,2056,981,,9032872
New Mexico,45528000,54200000,L,500,239,,2090708
New York,9407000,40900000,L,3638,2337,,19862512
North Carolina,0,0,I,1956,1162,,10390149
North Dakota,19636502,22063486,L,77,36,,755238
Ohio,256004127,341338836,L,4329,2875,,11694664
Oklahoma,94589202,111281415,L,813,392,,3940521
Oregon,424279422,502279422,L,506,198,,4199563
Pennsylvania,19355169,266355169,L,4627,1793,,12823989
Rhode Island,5384000,60200000,L,326,245,,1061712
South Carolina,0,0,I,879,540,,5088916
South Dakota,0,0,I,69,33,,877790
Tennessee,0,0,I,1630,1009,,6782564
Texas,0,0,I,2831,797,,28704330
Utah,78569429,92434623,L,635,395,,3159345
Vermont,19089114,42408676,L,125,80,,623960
Virginia,0,0,I,1405,921,,8525660
Washington,824089114,975287777,L,1102,452,,7530552
West Virginia,12544855,19855385,L,884,640,,1803077
Wisconsin,0,0,I,1074,595,,5818049
Wyoming,0,0,I,99,30,,573720
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
